dataset,backbone,strategy,unfreeze_pct,Direction,task,n_classes,total_params,trainable_params,batch_size,learning_rate,epochs_trained,best_epoch,best_val_primary,test_loss,training_time_sec,seed,test_primary,test_auc_macro,test_acc,test_acc_hamming,test_auc,test_auc_micro
chestmnist,swin_tiny_patch4_window7_224,partial,60,end,multilabel,14,27530120,24853574,64,0.0001,23,8,0.8348031292106776,0.1536699114234699,1534.0183310508728,42,0.832718721496784,0.832718721496784,0.5216868006954041,0.9470104629022295,0.832718721496784,0.8751382328661151
chestmnist,resnet18,partial,40,end,multilabel,14,11183694,10500622,64,0.0001,24,9,0.8012564129525599,0.15663016485607523,1034.636902809143,46,0.8026581595221841,0.8026581595221841,0.5316275130388267,0.9482618081780031,0.8026581601811683,0.8601832815251557
chestmnist,resnet18,partial,60,start,multilabel,14,11183694,2780430,64,0.0001,36,23,0.8105287119483469,0.1543775361742389,1618.9858417510986,49,0.8086855202230969,0.8086855202230969,0.5302456202915348,0.9480771312670746,0.8086855213724375,0.8651852985697432
chestmnist,swin_tiny_patch4_window7_224,partial,40,start,multilabel,14,27530120,2903708,64,0.0001,32,17,0.8315611655370231,0.15420596051080274,2936.2907428741455,40,0.8309201736123211,0.8309201736123211,0.5312263183702581,0.9484783259356433,0.8309201736123211,0.8746090051207923
chestmnist,swin_tiny_patch4_window7_224,partial,20,start,multilabel,14,27530120,681338,64,0.0001,85,70,0.8240403233272934,0.15387992492937974,7413.242199897766,42,0.8218014329019226,0.8218014329019226,0.5266348682744172,0.9475071801109335,0.8218014346396298,0.8697511799249776
chestmnist,swin_tiny_patch4_window7_224,LP,0,0,multilabel,14,27530120,10766,64,0.0001,108,108,0.7562886132865855,0.1667626922329267,5466.214346408844,46,0.756219962709007,0.756219962709007,0.5303793518477243,0.9473129509459915,0.756219962709007,0.8292602163229991
chestmnist,resnet18,full,0,0,multilabel,14,11183694,11183694,64,0.0001,27,12,0.816141285726982,0.15337461492105087,1159.09068775177,46,0.8147668760408181,0.8147668760408181,0.5306468149601035,0.9484082760728774,0.8147668760408181,0.8684649514111467
chestmnist,densenet121,partial,20,start,multilabel,14,6968206,382670,64,0.0001,71,56,0.8084711839032821,0.15494975322417046,5691.5774874687195,46,0.8083816950359768,0.8083816950359768,0.527838452280123,0.947851061255421,0.8083816950359768,0.8645073112161562
chestmnist,swin_tiny_patch4_window7_224,LP,0,0,multilabel,14,27530120,10766,64,0.0001,101,101,0.7563168599944747,0.16678254783917695,5114.491585254669,49,0.7562757517082792,0.7562757517082792,0.5307359693308964,0.9473288713693474,0.7562757521986356,0.8293775865412666
chestmnist,swin_tiny_patch4_window7_224,full,0,0,multilabel,14,27530120,27530120,64,0.0001,21,6,0.83300643546876,0.14930650311657506,2151.2792751789093,46,0.8316969133626888,0.8316969133626888,0.5328310970445326,0.9484815100203144,0.8316969145120295,0.8781484274897376
chestmnist,resnet18,partial,60,end,multilabel,14,11183694,11026190,64,0.0001,26,13,0.8104840653037704,0.15543286062968084,1119.043120622635,47,0.8069344820177088,0.8069344820177088,0.527660143538537,0.9478064840700244,0.8069344820177088,0.8642527529995051
chestmnist,swin_tiny_patch4_window7_224,partial,20,end,multilabel,14,27530120,15971114,64,0.0001,22,7,0.8163787834701387,0.1567233570365824,1143.4146757125854,46,0.8155416167650446,0.8155416167650446,0.5272589488699684,0.9476345434977806,0.815541617255401,0.86406381239499
chestmnist,resnet18,partial,40,start,multilabel,14,11183694,680718,64,0.0001,76,76,0.8025641043631666,0.15593807516019909,3252.619686603546,49,0.8053120244036254,0.8053120244036254,0.5288191503588463,0.9478733498481191,0.8053120232542846,0.8616977846312525
chestmnist,vit_base_patch16_224,partial,40,end,multilabel,14,85809422,35450126,64,0.0001,19,4,0.8210485487893863,0.15500857180085278,1419.9574410915375,43,0.817824467165908,0.817824467165908,0.5282842241340882,0.9480102654889799,0.8178244659381323,0.8642248410058584
chestmnist,vit_base_patch16_224,partial,40,end,multilabel,14,85809422,35450126,64,0.0001,20,5,0.817514232249032,0.15512753851138628,1495.4535031318665,41,0.8212097588454765,0.8212097588454765,0.5304685062185174,0.94817265380721,0.8212097595044607,0.8654576332780598
chestmnist,densenet121,partial,20,end,multilabel,14,6968206,2698766,64,0.0001,20,5,0.8035404989695946,0.15766275400279933,946.9053831100464,46,0.7997359682437798,0.7997359682437798,0.5283733785048812,0.9478415090014074,0.7997359672630668,0.8576215965280932
chestmnist,swin_tiny_patch4_window7_224,partial,40,start,multilabel,14,27530120,2903708,64,0.0001,31,16,0.8317158235865306,0.15178354114209144,2829.7143557071686,42,0.8304448017234066,0.8304448017234066,0.5281950697632951,0.9479433997108851,0.8304448017234066,0.8770407801636724
chestmnist,vit_base_patch16_224,partial,60,end,multilabel,14,85809422,56713742,64,0.0001,21,6,0.8241786211656279,0.15452058676980499,1849.4652569293976,43,0.8223286437566139,0.8223286437566139,0.5236927740382472,0.9471696671357884,0.8223286430976297,0.8692436647876065
