,dataset,run_name,summary_path,Direction,backbone,batch_size,best_epoch,best_val_primary,epochs_trained,learning_rate,n_classes,seed,strategy,task,test_acc,test_auc,test_auc_macro,test_f1_macro,test_loss,test_primary,total_params,trainable_params,training_time_sec,unfreeze_pct
505,retinamnist,retinamnist_resnet18_partial_pct60_dirstart_seed49,retinamnist/retinamnist_resnet18_partial_pct60_dirstart_seed49/summary.json,start,resnet18,64,52,0.8682336210530718,67,0.0001,5,49,partial,classification,0.635,0.839633216991723,,0.4024653283662378,0.9674343637057712,0.839633216991723,11179077,2775813,128.69845938682556,60
506,retinamnist,retinamnist_resnet18_partial_pct40_dirstart_seed40,retinamnist/retinamnist_resnet18_partial_pct40_dirstart_seed40/summary.json,start,resnet18,64,110,0.8541516794107945,125,0.0001,5,40,partial,classification,0.6375,0.8325450131293437,,0.4054918581413426,1.0346682497433253,0.8325450131293437,11179077,676101,211.32946920394895,40
507,retinamnist,retinamnist_densenet121_partial_pct20_dirend_seed49,retinamnist/retinamnist_densenet121_partial_pct20_dirend_seed49/summary.json,end,densenet121,64,10,0.8636076799009673,25,0.0001,5,49,partial,classification,0.6275,0.8379369681528595,,0.455912401324166,0.980903616973332,0.8379369681528595,6958981,2689541,50.0510470867157,20
508,retinamnist,retinamnist_densenet121_partial_pct40_dirstart_seed48,retinamnist/retinamnist_densenet121_partial_pct40_dirstart_seed48/summary.json,start,densenet121,64,82,0.8745861060571206,97,0.0001,5,48,partial,classification,0.6225,0.8608726608766654,,0.4743283495242506,0.979107814175742,0.8608726608766654,6958981,1293125,227.24759244918823,40
509,retinamnist,retinamnist_densenet121_full_pct0_seed44,retinamnist/retinamnist_densenet121_full_pct0_seed44/summary.json,0,densenet121,64,19,0.8610808038248159,34,0.0001,5,44,full,classification,0.6375,0.8337334865123841,,0.4994976779534149,1.2025749938828605,0.8337334865123841,6958981,6958981,84.63144898414612,0
510,retinamnist,retinamnist_resnet18_partial_pct20_dirend_seed45,retinamnist/retinamnist_resnet18_partial_pct20_dirend_seed45/summary.json,end,resnet18,64,53,0.8376664237816032,68,0.0001,5,45,partial,classification,0.64,0.8276107511176581,,0.4450039992795099,1.0160171389579773,0.8276107511176581,11179077,8396293,133.13836002349854,20
511,retinamnist,retinamnist_densenet121_full_pct0_seed48,retinamnist/retinamnist_densenet121_full_pct0_seed48/summary.json,0,densenet121,64,9,0.8940202359947593,24,0.0001,5,48,full,classification,0.66,0.8577012397232403,,0.4879672185638659,0.9279951964105878,0.8577012397232403,6958981,6958981,66.36505913734436,0
512,retinamnist,retinamnist_resnet18_LP_pct0_seed45,retinamnist/retinamnist_resnet18_LP_pct0_seed45/summary.json,0,resnet18,64,83,0.7750621574063985,98,0.0001,5,45,LP,classification,0.49,0.7609402183466092,,0.2324859998009326,1.2267829860959734,0.7609402183466092,11179077,2565,174.4883358478546,0
513,retinamnist,retinamnist_vit_base_patch16_224_LP_pct0_seed47,retinamnist/retinamnist_vit_base_patch16_224_LP_pct0_seed47/summary.json,0,vit_base_patch16_224,64,62,0.8403381674065121,73,0.0001,5,47,LP,classification,0.5825,0.8225806683188835,,0.3945017880670055,1.0123937044824871,0.8225806683188835,85802501,3845,203.6610960960388,0
514,retinamnist,retinamnist_resnet18_partial_pct60_dirend_seed43,retinamnist/retinamnist_resnet18_partial_pct60_dirend_seed43/summary.json,end,resnet18,64,26,0.8591676926542678,41,0.0001,5,43,partial,classification,0.64,0.8512434003581747,,0.4530141067374996,0.945122241973877,0.8512434003581747,11179077,11021573,82.18285012245178,60
